Particulars (Tally Product Name),Sources
Frido Ultimate Wedge Plus Cushion - Blush Pink Combo 2,Stockist
Fabric Wedge Cushion - 917 - Sage Green,MTGT
Arch Sports Insole- Small Pack of 4,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Lavender-5,Stockist
Frido Gel Max Insole – S Pack of 2,Stockist
Arcatron 2000 MAC_WTS,Offline_B2B
Frido Cloud Seat Cushion - Black Pack of 2,Stockist
Frido Cloud Comfort Lace-up Shoes - Navy UK 6,Stockist
Frido Gel Max Insole – L Pack of 2,Stockist
Frido Sports Knee Support Cap - Black-M1,Stockist
Mini Car Neck Pillow - Beige,"MTGT,Offline_B2B,Stockist"
Frido Ultimate Wedge Plus Cushion - Mustard Yellow Combo 2,Stockist
Frido Puneri Chappal - Women - Burgundy-6,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Lavender-6,Stockist
Freedom 5000 Standard,Offline_B2B
Nasal Strip Pro Pack of 30,Stockist
Combo - Lap Desk Pillow Black- Pack Of 2,Stockist
Frido Orthopedic Cervical Pillow - Grey Mesh Pack of 4,Stockist
.VALENCE II-25702-19-3910(60. 05.39 -Grey,MTGT
Frido Orthotics Pro Posture Corrector - S,"Offline_B2B,Stockist"
Frido Puneri Chappal - Women - Burgundy-5,Stockist
Frido Puneri Chappal - Women - Burgundy-4,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Black-4,Stockist
Frido Arch Support Insole Rigid- Large Pack of 4,Stockist
"Sleep combo 2"" 4 combo",Stockist
Frido Arch Support Insole Rigid- Large Pack of 2,Stockist
Frido Men's Dual Strap Comfort Sandal Warm Brown UK11,Stockist
Frido Basic Chair - Grey,Offline_B2B
Frido Men's Dual Strap Comfort Sandal Cloudy Grey UK6,Stockist
Ultimate Mattress Topper - 75 X 42 X 2,"MTGT,Stockist"
SS Fabric,MTGT
Frido Men's Dual Strap Comfort Sandal Cloudy Grey UK12,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Black-6,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Lavender-4,Stockist
Frido Sports Knee Support Cap - Black-XL1,Stockist
SAS100 Spares,"MTGT,Offline_B2B"
Accessories-Wheelchair @ 18%,Offline_B2B
Mini Car Neck Pillow - Black Combo 2,Stockist
Frido Sports Knee Support Cap - Black-L1,Stockist
Arch Sports Insole- Large Pack of 4,Stockist
Frido Arch Support Insole Rigid- Medium Pack of 2,Stockist
KNIT LOOP FABRIC WITH PU COATING BLACK H,MTGT
Arch Support Insoles - Small Pack of 2,Stockist
VALENCE II-25702-12-0703(708 )(60.05.39)- Beige,MTGT
VALENCE II-25702-18-0840(177 )(60.05.39)- Tan,MTGT
Arch Cushion Insoles - MaxComfort - Small Pack of 2,Stockist
Arch Cushion Insoles - MaxComfort - Large Pack of 2,Stockist
Mini Car Neck Pillow - Grey,"MTGT,Offline_B2B,Stockist"
Velvet Fabric 280 gsm  light Carmal 58''-105,MTGT
Frido Women's Cloud Comfort Sandals - Toeless - Lavender-3,Stockist
Oxygen Concentrator-1-6 LTR (DEDAKJ),Offline_B2B
Fabric -Coffee Brown,MTGT
Accessories - Wheelchair @ 5%,Offline_B2B
Frido Men's Dual Strap Comfort Sandal Cloudy Grey UK7,Stockist
Ultimate Mattress Topper -  84 X 48 X 2,"MTGT,Stockist"
Arch Sports Insole- Small Pack of 2,Stockist
Frido Dual Gel Pro Insoles Women Pack of 2,Stockist
Commode Chair,Offline_B2B
Frido Barefoot Classic (Men) L (UK 11-12),MTGT
Frido Barefoot Classic (Men) M (UK 9-10),MTGT
Frido Barefoot Classic (Men) S (UK 6-8),MTGT
Frido Women's Cloud Comfort Sandals - Toeless - Black-3,Stockist
Frido Ultimate Contour Cervical Pillow- Premium Blue Pack of 4,Stockist
Ultimate Tailbone Pain Relief Seat Cushion-Blue- Combo 4,Stockist
Ultimate Mattress Topper -  84 X 36 X 2,"MTGT,Stockist"
Frido Baby Shoes -  Blush Beige - 0 - 6 Months,Stockist
Ultimate Mattress Topper - 72 X 75 X2,"MTGT,Offline_B2B"
Frido Cloud Seat Cushion - Lily Pad Pack of 2,Stockist
FPA007 Spares,Offline_B2B
Mini Car Neck Pillow - Beige Combo 2,Stockist
Invisible Zipper with Runner Black 37'',MTGT
Ultimate Mattress Topper - 78  X 42 X 2,"MTGT,Stockist"
UItimate Mattress Topper -  72 X 42 X 2,"MTGT,Stockist"
Insoles Men - Dual Gel Pack of 2,Stockist
Frido Orthopedic Mattress,Offline_B2B
Car Neck Lables Black/White,MTGT
Insoles Women - Dual Gel Pack of 2,Stockist
Velvet Fabric 280 gsm  Blush Pink 58''-108,MTGT
Oxygen Concentrator-10 LTR (Yuwell),Offline_B2B
Frido Orthotics Lumbo Sacral Belt - XS,"Offline_B2B,Stockist"
SSS100 Spares,"MTGT,Offline_B2B"
Frido Baby Shoes -  Baa Baa Black - EU-20,Stockist
Foldable Chair FSC100,Offline_B2B
Frido x HRX Barefoot Sock Shoe Pro-XL,Stockist
Frido Five Finger Neck Massager - White,"Offline_B2B,Stockist"
Frido Arch Support Insole Rigid- Small Pack of 2,Stockist
Invisible Zipper with Runner Black 18'',MTGT
Arch Sports Insole- XL Pack of 2,Stockist
Frido Baby Shoes -  Baa Baa Black - EU-17,Stockist
Frido Cloud Comfort Sandal - Men - TAN UK-13,Stockist
Frido Comfort Formal Shoes - Black-41,Stockist
Frido Sports Knee Support Cap - Black-XXL1,Stockist
Coccyx Seat Fabric (Rice Knit),Offline_B2B
Frido Baby Shoes -  Baa Baa Black - 0 - 6 Months,Stockist
Ultimate Tailbone Pain Relief Seat Cushion -Grey Combo 4,Stockist
Frido Men's Dual Strap Comfort Sandal Warm Brown UK12,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Rose Pink UK-5,Stockist
Frido Arch Support Insole Rigid- Small Pack of 4,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Pastel Multi-5,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Pastel Multi UK-6,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Satin Gold UK-6,Stockist
