Particulars (Tally Product Name),Sources
Frido Cloud comfort Slippers - Blue-UK-9,Offline_B2B
Accessories-Bed Pan @ 18%,MTGT
Kinesiology Tape - Black,Offline_B2B
Winter socks - Yellow(Large - Extra Large),Offline_B2B
Accessories for Wedge Pillow(Black Velvet Cover),Offline_B2B
Frido x HRX Barefoot Sock Shoe Classic-L,Stockist
Travel Neck Pillow Latch Boxes,MTGT
wheelchair Joy stick spare parts,Offline_B2B
Frido Ultimate Contour Cervical Pillow- Premium Blue Pack of 2,Stockist
Frido Ultimate Wedge Plus Max Cushion - Teal Blue,Stockist
120 mm/ 70 mm Taper Gaslift of AeroMesh Ergo Chair,Offline_B2B
Active Knee Cap Support Boxes,MTGT
Accessories - Cushion Cover,Stockist
Active socks quarter length-Carbon Grey-M,Offline_B2B
Pride Fashion World,MTGT
Frido Consumer Healthcare - FZCO,MTGT
