Platform,Target Type,Campaign Name,Total Spend (Rs),Days Active,First Date,Last Date
"Flipkart","product","PLA_Footwear_Slip On Casual Shoes_Comp_M_Feb26",1836,10,"2026-07-01","2026-07-10"
"Flipkart","product","PLA_Cushions_Ultimate Pro Seat Cushion_Auto_June26",1807,9,"2026-07-02","2026-07-10"
"Flipkart","product","PLA_Cushions_Car Neck Rest_New_genric_June26",1723,9,"2026-07-01","2026-07-10"
"Flipkart","product","PLA_Footwear_Slip On Casual Shoes_Auto_M_April26",1700,5,"2026-07-01","2026-07-05"
"Flipkart","product","PLA_Cushions_Cloud Seat Cushion_Auto_June26",1692,8,"2026-07-03","2026-07-10"
"Flipkart","product","PLA_Cushions_Cloud Backrest_Auto_June26",1623,9,"2026-07-02","2026-07-10"
"Myntra","product","PLA_Footwear_Men Cloud Comfort Sandal_Brand_June26",1601,13,"2026-06-26","2026-07-08"
"Flipkart","product","PLA_Cushions_Wedge Plus Cushion Cooling_Auto_June26",1535,8,"2026-07-03","2026-07-10"
"Amazon","product","SP/LapDesk Pillow/Phrase/Jan25/1",1313,6,"2025-01-08","2025-01-13"
"Amazon","product","SP/ActiveShoes/Generic/Phrase/Women/Jun26/C5",1283,14,"2026-06-21","2026-07-09"
"Flipkart","product","PLA_Chair_Ergoluxe Chair_Branded_June6",1250,7,"2026-06-30","2026-07-06"
"Amazon","product","SD/ActiveShoes/VR/AP/VCPM/Jun26/1",931,17,"2026-06-19","2026-07-05"
"Flipkart","product","PLA_Cushions_Wedge Neck Combo_Genric_June26",827,8,"2026-07-02","2026-07-09"
"Flipkart","product","PLA_Cushions_Wedge Max Cushion_Genric_June26",823,7,"2026-07-03","2026-07-09"
"Flipkart","product","PLA_Orthotics_KT tape_Auto_June26",818,5,"2026-07-02","2026-07-06"
"Flipkart","product","PLA_Cushions_Sofa Backrest Cushion_Auto_June26",818,7,"2026-07-02","2026-07-08"
"Amazon","product","SP/Slipon-W/Generic/Phrase/HS/Jun26/C5",779,12,"2026-06-26","2026-07-07"
"Flipkart","product","PLA_Cushions_Wedge Neck Combo_Branded_June26",713,9,"2026-07-02","2026-07-10"
"Amazon","product","SP/CrescentPillow/Generic/Exact/HS/Jun26/C3",687,17,"2026-06-17","2026-07-07"
"Myntra","product","PLA_Maternity U-Shaped Pillow_Auto_July26",676,7,"2026-07-03","2026-07-09"
"Amazon","product","SD/CrescentPillow/VR/AP/VCPM/Jun26/1",642,23,"2026-06-17","2026-07-09"
"Myntra","product","PLA_Pillow_SleepingPillow_Generic_June26",597,11,"2026-06-30","2026-07-10"
"Amazon","product","SP/WedgeSandals/Generic/Phrase/HS/Jun26/C4",511,22,"2026-06-16","2026-07-09"
"Amazon","product","SP/ElectricHeatingPad/Generic/Exact/HS/Jun26/C2",497,8,"2026-06-23","2026-07-04"
"Amazon","product","SP/WinterSocks/Auto/Nov25/1",491,1,"2025-11-10","2025-11-10"
"Amazon","product","SP/ArmMonitor/Generic/Phrase/HS/Jun26/C4",482,7,"2026-06-17","2026-06-24"
"Amazon","product","SP/CrescentPillow/CAT/Jun26/C2",458,15,"2026-06-19","2026-07-07"
"Flipkart","product","PLA_Cushions_Tailbone Relief Cushion_Auto_June26",412,7,"2026-07-03","2026-07-09"
"Amazon","product","SD/WedgeSandals/Brand/VCPM/June26",377,17,"2026-06-20","2026-07-06"
"Amazon","product","SP/WedgeSandals/Brand/Phrase/Jun26/C6",354,21,"2026-06-16","2026-07-07"
"Amazon","product","SD/CrescentPillow/Brand/VCPM/Jun26/1",291,21,"2026-06-17","2026-07-07"
"Amazon","product","SD/WedgeSandals/Comp/VCPM/June26",276,19,"2026-06-20","2026-07-09"
"Amazon","product","SP/WedgePlus+Covers/Phrase/ST/May26/1",272,10,"2026-05-21","2026-06-05"
"Amazon","product","SP/ElectricStandingDesk/Generic/Phrase/HS/Jun26/C4",265,5,"2026-06-23","2026-07-09"
"Amazon","product","SD/ActiveShoes/Comp/VCPM/Jun26/1",257,13,"2026-06-23","2026-07-05"
"Myntra","product","PLA_Orthotics_Heel_Protector_Generic_June26",228,11,"2026-06-27","2026-07-09"
"Amazon","product","SP/ElectricStandingDesk/Auto/Jun26/C2",218,12,"2026-06-16","2026-07-09"
